年（和暦）,年（西暦）,月,項目,単位,値
平成27,2015,2,男,人,1850476
平成27,2015,2,女,人,1860348
平成27,2015,3,市域面積,km2,435.21
平成27,2015,3,世帯数,世帯,1632193
平成27,2015,3,人口総数,人,3709467
平成27,2015,3,男,人,1849765
平成27,2015,3,女,人,1859702
平成27,2015,4,市域面積,km2,435.21
平成27,2015,4,世帯数,世帯,1638946
平成27,2015,4,人口総数,人,3712170
平成27,2015,4,男,人,1850562
平成27,2015,4,女,人,1861608
平成27,2015,5,市域面積,km2,435.21
平成27,2015,5,世帯数,世帯,1644890
平成27,2015,5,人口総数,人,3718913
平成27,2015,5,男,人,1854339
平成27,2015,5,女,人,1864574
平成27,2015,6,市域面積,km2,435.21
平成27,2015,6,世帯数,世帯,1645739
平成27,2015,6,人口総数,人,3719535
平成27,2015,6,男,人,1854605
平成27,2015,6,女,人,1864930
平成27,2015,7,市域面積,km2,435.21
平成27,2015,7,世帯数,世帯,1646592
平成27,2015,7,人口総数,人,3719896
平成27,2015,7,男,人,1854430
平成27,2015,7,女,人,1865466
平成27,2015,8,市域面積,km2,435.23
平成27,2015,8,世帯数,世帯,1646486
平成27,2015,8,人口総数,人,3719388
平成27,2015,8,男,人,1854047
平成27,2015,8,女,人,1865341
平成27,2015,9,市域面積,km2,435.23
平成27,2015,9,世帯数,世帯,1646676
平成27,2015,9,人口総数,人,3719589
平成27,2015,9,男,人,1853945
平成27,2015,9,女,人,1865644
平成27,2015,10,市域面積,km2,435.23
平成27,2015,10,世帯数,世帯,1645618
平成27,2015,10,人口総数,人,3724844
平成27,2015,10,男,人,1855985
平成27,2015,10,女,人,1868859
平成27,2015,11,市域面積,km2,435.23
平成27,2015,11,世帯数,世帯,1646768
平成27,2015,11,人口総数,人,3725503
平成27,2015,11,男,人,1856268
平成27,2015,11,女,人,1869235
平成27,2015,12,市域面積,km2,435.23
平成27,2015,12,世帯数,世帯,1646791
平成27,2015,12,人口総数,人,3725758
